,Place,Hotel Name,Destination,Actual Price,Offer Percentage,Price,Ratings,Review
1783,faridaba,Hotel O Aashirvad,Near MVN school,₹2269,74%,₹458,10,Fair
1784,faridaba,Hotel sky guest house,Nearby Landmark-  Raja Nahar singh metro station,₹2469,73%,₹522,8,Good
1785,faridaba,Hotel O Red Panther Near Akash Cinema,Landmark- Near Akash Cinemanull,₹2574,73%,₹550,,
1786,gangtok,Townhouse Mansarovar Hotel,Gangtok Singtam - Chungthang Road,₹3248,71%,₹738,2,Excellent
1787,gangtok,Hotel O Green Dot,Near GuruDhuwara,₹6499,72%,₹1510,3,Fair
1788,gangtok,Hotel O Ridge Park,Near White Hall,₹4221,74%,₹868,11,Fabulous
1789,gangtok,Hotel O Nourpem Residency,Near Development Area,₹3166,72%,₹693,8,Fabulous
1790,gangtok,Hotel O Himalaya Gangtok,Tathangchen Area,₹6691,71%,₹1555,2,Fair
1791,gangtok,Collection O NORBULING RETREAT,Link Road Coperative ,₹6794,73%,₹1472,2,Fabulous
1792,gangtok,Hotel O Basar International,Chandmari,₹5485,72%,₹1269,1,Fabulous
1793,gangtok,Hotel O 35610 Hotel SHAYABONG,Near ICFAI University,₹6989,72%,₹1626,1,Fair
1794,gangtok,Hotel O Demadzong,Near Bsnl Office,₹7595,71%,₹1770,3,Fair
1795,gangtok,Hotel O Betila,Nam Nang Road,₹5485,72%,₹1269,,
1796,gangtok,Hotel O Central Hill Resort,Palzor Stadium Road,,,,,
1797,gaya,Hotel O HAPPY PLACE HOTEL & RESORT,Bhindas Wazirganj Gaya Bihar,₹3242,71%,₹736,10,Excellent
1798,gaya,Hotel O Family Guest House,Bihar,₹3634,71%,₹829,22,Excellent
1799,gaya,Hotel O Divisha palace,MANPUR,₹3276,73%,₹710,10,Excellent
1800,gaya,Hotel O Magadh Guest House,Road Number 7,₹4811,72%,₹1100,162,Very Good
1801,gaya,Hotel O The House Of Kanha Resort,Gaya,₹3659,71%,₹835,2,Fabulous
1802,ghaziabad,Hotel O Red Diamond Hotel,Ghaziabad,₹3344,72%,₹760,297,Very Good
1803,ghaziabad,Hotel O Crewford,Radhe Shyam Vihar,₹3006,80%,₹465,4,Fair
1804,ghaziabad,Townhouse Townhouse Atal Chowk Indirapuram Ghaziabad,Sector 15,₹3784,71%,₹865,810,Excellent
1805,ghaziabad,Hotel O Royal vaid G Guest House ,Pilkhuwa,₹2585,71%,₹580,5,Good
1806,ghaziabad,Hotel O Rosella,Landmark- Opposite Ajanta Industrial Compound Gate.,₹2630,77%,₹461,1,Fair
1807,ghaziabad,Hotel O A.S,Nearby landmark- NCR Medical College,₹2426,74%,₹490,78,Very Good
1808,ghaziabad,Hotel O Crystal Inn,Near Limra Hospital (In front of NH-24)null,₹1842,68%,₹456,4,Very Good
1809,ghaziabad,Hotel O Kwins Residency,D-41,₹2859,71%,₹641,4,Excellent
1810,ghaziabad,Hotel O Welcome Guest House ,plot no 945Plot namber 945.karera near by hindon airport Mohan nagar,₹2630,72%,₹580,8,Good
1811,ghaziabad,Hotel O Blue Moon ,Block A plot 2 sarvodya Nagar   Block A plot 2 sarvodya Nagar sarvodya Nagar pilkhuwa,₹2844,72%,₹637,5,Good
1812,ghaziabad,Hotel O Metro Inn,Khasra No 1550 Ashok Vatika Bagh Ranap Loni Main RoadOpp.Ganesh Hospital,₹3254,74%,₹676,508,Good
1813,ghaziabad,Townhouse Siddharth Vihar Ghaziabad,Near Pratap Vihar,₹3909,71%,₹883,492,Very Good
1814,ghaziabad,TOWNHOUSE THE HOTEL DIAMOND VASUNDHARA,Vasundhara,₹2144,54%,₹786,10,Fair
1815,ghaziabad,Hotel O Red Rose,Near by Angle mall and New redision blue tower back side,₹2491,74%,₹510,301,Very Good
1816,ghaziabad,Hotel O R.N  Residency Hotel,Near Radisson Blu hotel,₹3885,71%,₹909,44,Good
1817,ghaziabad,Hotel O 5 Inn,Plot 1363Plot 1363 Block -b Sector 5 Vasundhara Ghaziabad Near Homes Forever,₹2630,75%,₹502,3,Fair
1818,ghaziabad,Hotel O River Edge Palace,Modinagar,₹2220,73%,₹461,13,Very Good
1819,ghaziabad,Hotel O Royal orbit inn,opposite abupur gate piller no.1000 muradnagar,₹2460,76%,₹461,125,Good
1820,ghaziabad,Spot On Sunlike Place,Surya Sai Mandir Mohan Nagar Ghaziabad UP 201007,₹2426,74%,₹488,24,Very Good
1821,ghaziabad,Hotel O nd Home Cottage,plot no 217 c block Sector 1,₹3064,72%,₹693,,
1822,ghaziabad,Hotel O RL Residency,Shakti Khand-1 Mangal Chowk Indirapuram Ghaziabad Uttar Pradesh 201014.,₹2630,76%,₹477,82,Excellent
1823,ghaziabad,Hotel O Shakun Palace,sector 15,₹2376,75%,₹456,39,Very Good
1824,ghaziabad,Townhouse EMPORIO SUITS BY SBG,vasundhara,₹4005,68%,₹1025,637,Very Good
